,time,sv,ECEF,position,clock,velocity,dclock
1936,10:30:00 AM,L47,y,-6453.454863,0.000732,-12465.63518,1000000
1937,10:30:00 AM,L47,x,2001.008356,0.000732,2462.045492,1000000
1938,11:00:00 AM,L47,z,6585.996512,-0.000268,-20200.52002,1000000
1939,11:00:00 AM,L47,y,1840.514196,-0.000268,72302.77439,1000000
1940,11:00:00 AM,L47,x,-18.491051,-0.000268,-12551.23936,1000000
1941,11:30:00 AM,L47,z,-4431.711765,0.004798,-58061.95124,1000000
1942,11:30:00 AM,L47,x,-444.876861,0.004798,3360.46327,1000000
1943,11:30:00 AM,L47,y,5210.831953,0.004798,-49027.05636,1000000
1944,12:00:00 PM,L47,x,-665.342855,-0.004365,-4071.495292,1000000
1945,12:00:00 PM,L47,y,-6172.243789,-0.004365,-31969.09626,1000000
1946,12:00:00 PM,L47,z,-2906.463337,-0.004365,68977.45065,1000000
1947,12:30:00 PM,L47,x,306.321312,0.002556,16380.30507,1000000
1948,12:30:00 PM,L47,y,-85.85015,0.002556,74315.64654,1000000
1949,12:30:00 PM,L47,z,6830.519379,0.002556,192.280961,1000000
1950,1:00:00 PM,L47,z,-2876.717914,-0.000116,-69143.07918,1000000
1951,1:00:00 PM,L47,x,1997.49923,-0.000116,-9635.677011,1000000
1952,1:00:00 PM,L47,y,5891.207745,-0.000116,-30411.41696,1000000
1953,1:30:00 PM,L47,x,-2586.595356,-0.003722,-23787.56382,1000000
1954,1:30:00 PM,L47,y,-4522.39745,-0.003722,-43307.46895,1000000
1955,1:30:00 PM,L47,z,-4456.512926,-0.003722,57819.03367,1000000
1956,2:00:00 PM,L47,y,-1689.872981,-0.003486,60240.25936,1000000
1957,2:00:00 PM,L47,z,6576.746579,-0.003486,20567.7104,1000000
1958,2:00:00 PM,L47,x,-810.728727,-0.003486,41725.89667,1000000
1959,2:30:00 PM,L47,x,4533.226657,0.001046,-7233.479097,1000000
1960,2:30:00 PM,L47,y,5015.671792,0.001046,-10011.95805,1000000
1961,2:30:00 PM,L47,z,-1112.372821,0.001046,-75202.75562,1000000
1962,3:00:00 PM,L47,x,-3105.039011,0.000105,-48821.79857,1000000
1963,3:00:00 PM,L47,y,-2254.419497,0.000105,-39790.71004,1000000
1964,3:00:00 PM,L47,z,-5682.250284,0.000105,42491.86601,1000000
1965,3:30:00 PM,L47,x,-2848.227923,-0.000818,54584.23224,1000000
1966,3:30:00 PM,L47,y,-2128.912937,-0.000818,35533.97044,1000000
1967,3:30:00 PM,L47,z,5843.454939,-0.000818,39445.43138,1000000
1968,4:00:00 PM,L47,x,6192.473503,0.004776,8102.387406,1000000
1969,4:00:00 PM,L47,y,2833.04188,0.004776,2155.936278,1000000
1970,4:00:00 PM,L47,z,732.58932,0.004776,-75780.59736,1000000
1971,4:30:00 PM,L47,z,-6495.965238,-9.00E-06,24120.70704,1000000
1972,4:30:00 PM,L47,x,-2165.244115,-9.00E-06,-68847.51133,1000000
1973,4:30:00 PM,L47,y,-360.140637,-9.00E-06,-21009.86919,1000000
1974,5:00:00 PM,L47,z,4684.037065,0.000328,55454.3691,1000000
1975,5:00:00 PM,L47,y,-1063.761812,0.000328,9950.544825,1000000
1976,5:00:00 PM,L47,x,-4873.816748,0.000328,51285.90467,1000000
1977,5:30:00 PM,L47,x,6362.516443,0.002542,28226.90957,1000000
1978,5:30:00 PM,L47,z,2523.770279,0.002542,-70823.82687,1000000
1979,5:30:00 PM,L47,y,136.677418,0.002542,-231.293565,1000000
1980,6:00:00 PM,L47,x,-333.26619,-0.003278,-75458.32572,1000000
1981,6:00:00 PM,L47,y,349.435688,-0.003278,7003.01663,1000000
1982,6:00:00 PM,L47,z,-6839.748173,-0.003278,4030.433428,1000000
1983,6:30:00 PM,L47,x,-5941.953914,-0.002501,34935.3083,1000000
1984,6:30:00 PM,L47,y,1195.332254,-0.002501,-6592.402022,1000000
1985,6:30:00 PM,L47,z,3183.011408,-0.002501,67422.80135,1000000
1986,7:00:00 PM,L47,x,5047.596181,-0.001011,42812.55596,1000000
1987,7:00:00 PM,L47,y,-2071.440815,-0.001011,-17075.85915,1000000
1988,7:00:00 PM,L47,z,4130.475048,-0.001011,-60694.58589,1000000
1989,7:30:00 PM,L47,y,-412.797799,-0.003366,34321.31755,1000000
1990,7:30:00 PM,L47,z,-6689.264412,-0.003366,-16347.5753,1000000
1991,7:30:00 PM,L47,x,1447.335063,-0.003366,-65698.93821,1000000
1992,8:00:00 PM,L47,z,1449.750473,-0.005011,74471.53975,1000000
1993,8:00:00 PM,L47,x,-5498.05061,-0.005011,14068.73895,1000000
1994,8:00:00 PM,L47,y,3818.288855,-0.005011,-8230.419321,1000000
1995,8:30:00 PM,L47,x,2865.960318,0.000254,43800.18984,1000000
1996,8:30:00 PM,L47,y,-3006.003541,0.000254,-41882.79348,1000000
1997,8:30:00 PM,L47,z,5435.472473,0.000254,-46141.96386,1000000
1998,9:00:00 PM,L47,y,-2289.129955,0.004582,51281.37068,1000000
1999,9:00:00 PM,L47,z,-6055.359793,0.004582,-35562.7624,1000000
2000,9:00:00 PM,L47,x,2257.996624,0.004582,-43299.31837,1000000
2001,9:30:00 PM,L47,x,-3615.894028,0.000307,-1009.482679,1000000
2002,9:30:00 PM,L47,y,5807.009564,0.000307,4361.069916,1000000
2003,9:30:00 PM,L47,z,-389.885092,0.000307,76082.92371,1000000
2004,10:00:00 PM,L47,z,6344.092787,0.001527,-28230.52895,1000000
2005,10:00:00 PM,L47,x,784.990226,0.001527,28863.95663,1000000
2006,10:00:00 PM,L47,y,-2429.873657,0.001527,-64539.5059,1000000
2007,10:30:00 PM,L47,x,1596.767351,0.002916,-17115.71718,1000000
2008,10:30:00 PM,L47,z,-4982.669872,0.002916,-52238.27122,1000000
2009,10:30:00 PM,L47,y,-4429.368535,0.002916,52527.8006,1000000
2010,11:00:00 PM,L47,y,6418.32067,-0.003016,24262.74534,1000000
2011,11:00:00 PM,L47,x,-967.58799,-0.003016,-2645.585237,1000000
2012,11:00:00 PM,L47,z,-2201.148693,-0.003016,72147.26365,1000000
2013,11:30:00 PM,L47,z,6790.223409,-0.003368,-8269.793588,1000000
2014,11:30:00 PM,L47,x,-290.238375,-0.003368,2413.571424,1000000
2015,11:30:00 PM,L47,y,-753.076692,-0.003368,-75612.47838,1000000
2016,12:00:00 AM,L47,y,-5850.587257,0.003986,39260.02816,1000000
2017,12:00:00 AM,L47,x,-405.900774,0.003986,2580.02649,1000000
2018,12:00:00 AM,L47,z,-3547.691846,0.003986,-65158.506,1000000
2019,12:30:00 AM,L47,x,1459.894358,-0.002992,10863.52483,1000000
2020,12:30:00 AM,L47,z,-3852.621467,-0.002992,62966.69124,1000000
2021,12:30:00 AM,L47,y,5479.184906,-0.002992,41315.46581,1000000
2022,1:00:00 AM,L47,x,96.333157,0.001384,-26249.45099,1000000
2023,1:00:00 AM,L47,y,1144.73887,0.001384,-70366.60237,1000000
2024,1:00:00 AM,L47,z,6741.117916,0.001384,12290.97184,1000000
2025,1:30:00 AM,L47,x,-3037.538076,-0.000739,8446.583952,1000000
2026,1:30:00 AM,L47,y,-5855.877909,-0.000739,18753.03699,1000000
2027,1:30:00 AM,L47,z,-1854.513634,-0.000739,-73358.78257,1000000
2028,2:00:00 AM,L47,x,2784.146876,-0.001453,34554.52164,1000000
2029,2:00:00 AM,L47,y,3459.290887,-0.001453,46473.6638,1000000
2030,2:00:00 AM,L47,z,-5223.888412,-0.001453,49230.45435,1000000
2031,2:30:00 AM,L47,x,1757.3151,0.001217,-46870.78016,1000000
2032,2:30:00 AM,L47,y,2290.610129,0.001217,-50769.07276,1000000
2033,2:30:00 AM,L47,z,6200.343103,0.001217,31957.31024,1000000
2034,3:00:00 AM,L47,x,-5303.913459,0.00279,-774.572569,1000000
2035,3:00:00 AM,L47,y,-4335.195428,0.00279,1252.503319,1000000
2036,3:00:00 AM,L47,z,-26.760798,0.00279,-76218.35915,1000000
2037,3:30:00 AM,L47,z,-6215.885426,0.000135,31957.23275,1000000
2038,3:30:00 AM,L47,x,2601.37479,0.000135,58917.80645,1000000
2039,3:30:00 AM,L47,y,1268.641447,0.000135,35694.11466,1000000
2040,4:00:00 AM,L47,y,2036.545806,-0.005274,-24655.10731,1000000
2041,4:00:00 AM,L47,z,5207.431133,-0.005274,49302.17145,1000000
2042,4:00:00 AM,L47,x,3942.607301,-0.005274,-52568.2628,1000000
2043,4:30:00 AM,L47,x,-6351.922962,0.001417,-19723.77917,1000000
2044,4:30:00 AM,L47,y,-1814.335096,0.001417,-4435.284576,1000000
2045,4:30:00 AM,L47,z,1802.569352,0.001417,-73515.79438,1000000
2046,5:00:00 AM,L47,x,1153.913509,-0.00191,73962.40851,1000000
2047,5:00:00 AM,L47,y,-132.132929,-0.00191,11655.246,1000000
2048,5:00:00 AM,L47,z,-6757.771534,-0.00191,12402.68357,1000000
2049,5:30:00 AM,L47,y,337.311166,-0.000914,-2411.442594,1000000
2050,5:30:00 AM,L47,x,5659.449769,-0.000914,-42731.74857,1000000
2051,5:30:00 AM,L47,z,3834.667314,-0.000914,63058.37229,1000000
2052,6:00:00 AM,L47,z,3500.088483,0.000314,-65443.83839,1000000
2053,6:00:00 AM,L47,x,-5831.517026,0.000314,-38726.39944,1000000
2054,6:00:00 AM,L47,y,767.640753,0.000314,5273.593399,1000000
2055,6:30:00 AM,L47,x,-777.300228,-0.000201,73433.16694,1000000
2056,6:30:00 AM,L47,y,-139.222931,-0.000201,-17394.35815,1000000
2057,6:30:00 AM,L47,z,-6811.163527,-0.000201,-8033.477737,1000000
2058,7:00:00 AM,L47,y,-2228.164218,-0.003679,7436.565446,1000000
2059,7:00:00 AM,L47,z,2182.134443,-0.003679,72214.72283,1000000
2060,7:00:00 AM,L47,x,6096.149297,-0.003679,-23270.36991,1000000
2061,7:30:00 AM,L47,x,-4043.56864,-0.000303,-47949.38633,1000000
2062,7:30:00 AM,L47,y,2456.526722,-0.000303,27180.70567,1000000
2063,7:30:00 AM,L47,z,4941.896994,-0.000303,-52598.79613,1000000
2064,8:00:00 AM,L47,x,-2206.310408,0.002674,57427.53393,1000000
2065,8:00:00 AM,L47,y,1238.851563,0.002674,-41099.74239,1000000
2066,8:00:00 AM,L47,z,-6372.431191,0.002674,-27894.60538,1000000
2067,8:30:00 AM,L47,z,370.621199,0.003641,76096.61923,1000000
2068,8:30:00 AM,L47,y,-4701.067747,0.003641,1855.575953,1000000
2069,8:30:00 AM,L47,x,4969.213997,0.003641,-4071.113576,1000000
2070,9:00:00 AM,L47,x,-1809.880979,-0.000713,-41635.90063,1000000
2071,9:00:00 AM,L47,y,2687.132092,-0.000713,52666.63647,1000000
2072,9:00:00 AM,L47,z,6023.387718,-0.000713,-35922.3774,1000000
2073,9:30:00 AM,L47,x,-2363.629395,-0.002763,32347.67814,1000000
2074,9:30:00 AM,L47,y,3385.908642,-0.002763,-51327.23162,1000000
