,time,X,X_dot,Y,Y_dot,Z,Z_dot
0,2024-05-12 00:00:00,915.849718800699,-16209.606749210385,-4594.159707723445,53080.16157914565,-5006.156715,-51961.645478
1,2024-05-12 00:30:00,-1.1078165589348146,-2146.0785430999877,6501.720362454446,23978.265810288314,-2171.197467,72256.596255
2,2024-05-12 01:00:00,-402.45115645770534,1011.9906972669976,-729.5673076891494,-75599.85786174735,6788.440225,-8582.261686
3,2024-05-12 01:30:00,-1270.0349979832124,3332.5090642602813,-5713.165967803239,39438.69329886178,-3569.15947,-65010.406352
4,2024-05-12 02:00:00,2264.8747845079743,11575.574026751563,5213.002084640359,40904.26720555862,-3834.034578,63106.546828
5,2024-05-12 02:30:00,256.4211401052289,-27555.682049308132,1100.7709497426465,-69892.97723811018,6745.59041,12073.604728
6,2024-05-12 03:00:00,-3874.331455230725,8874.552366481845,-5335.080563101055,18744.146867674655,-1869.987506,-73304.708349
7,2024-05-12 03:30:00,3276.3429232017425,35347.859039802264,3013.62494701006,45746.536721451994,-5215.320579,49346.482739
8,2024-05-12 04:00:00,2071.5868054464718,-47830.09645462121,1997.1165844084273,-49925.88618646956,6206.177805,31842.806822
9,2024-05-12 04:30:00,-5891.85120949978,-686.9660309269286,-3496.4925987833203,1318.8936267771305,-33.851431,-76211.868145
10,2024-05-12 05:00:00,2765.915115966398,59545.65466860683,868.529972078069,34588.10154449276,-6214.299553,32007.059109
11,2024-05-12 05:30:00,4201.083394313111,-53023.20265066586,1425.5200603012252,-23686.11446653688,5210.020161,49277.568108
12,2024-05-12 06:00:00,-6552.143141836618,-19813.716413905688,-846.7552691175279,-4072.8226474731373,1804.412507,-73505.154683
13,2024-05-12 06:30:00,1117.6102394168527,74170.34624206365,-302.7720615521286,10291.094985060581,-6758.985473,12360.507931
14,2024-05-12 07:00:00,5650.742302854815,-42705.96129335114,-511.2674053696589,-1624.3619892911743,3830.280463,63092.637573
15,2024-05-12 07:30:00,-5647.628493084079,-38712.6332348116,1628.0898869956666,5997.859473411767,3509.483906,-65379.99187
16,2024-05-12 08:00:00,-801.1406588015942,73085.0526067357,-16.870361368958598,-18738.556030565418,-6810.413706,-8172.81715
17,2024-05-12 08:30:00,5700.294643450695,-22980.605007152568,-3115.790707787506,7801.8767906926,2168.500969,72262.66596
18,2024-05-12 09:00:00,-3621.4279837428016,-47559.43461640345,3024.8810550190165,28125.647221314823,4955.785669,-52442.404926
19,2024-05-12 09:30:00,-2011.0918092184618,56591.95348241425,1568.6181113798227,-42094.3914865956,-6365.069144,-28115.446467
20,2024-05-12 10:00:00,4213.016067502786,-3848.636606585192,-5391.998672595416,1743.3344137353918,347.266479,76105.589881
21,2024-05-12 10:30:00,-1376.4525944876195,-40743.37076593353,2906.9515143110216,53528.348302847546,6037.418079,-35649.777064
22,2024-05-12 11:00:00,-1841.0366822604356,31297.739606344665,3723.752559043472,-51735.99785631938,-5454.721229,-46038.415032
23,2024-05-12 11:30:00,1695.5602207968127,5108.488335166512,-6469.338283748125,-15832.386344783912,-1499.882262,74345.432689
24,2024-05-12 12:00:00,110.25652228146899,-19286.26971198888,1488.5309592124815,71800.31426528694,6674.62204,-16245.830172
25,2024-05-12 12:30:00,-214.25124166381386,7347.716207119189,5456.3627394543,-45368.72430475357,-4144.927135,-60628.796994
26,2024-05-12 13:00:00,-916.8689316062472,-1151.3083354823307,-5973.075688572181,-35878.67955980204,-3237.562449,67121.206892
27,2024-05-12 13:30:00,206.24111865788603,9579.630044431964,-459.8424918236989,75359.91511472446,6820.670246,4351.684287
28,2024-05-12 14:00:00,2313.718328528938,-5864.110808799912,5934.811152365267,-27441.02078031987,-2530.600063,-70799.570491
29,2024-05-12 14:30:00,-2658.136908557186,-20957.083040613044,-4183.853356291821,-48155.80541623613,-4737.510309,54985.345776
30,2024-05-12 15:00:00,-1106.82762027547,35478.06318716013,-1941.6102478820474,62667.74800191217,6464.673977,24629.151202
31,2024-05-12 15:30:00,4788.489672550031,-3720.6742727085284,4846.511932701898,-7252.661130704403,-730.400234,-75776.454613
32,2024-05-12 16:00:00,-2943.0966024043782,-46639.31117931171,-1915.9250813345607,-45663.08570826028,-5889.71969,38853.245726
33,2024-05-12 16:30:00,-3224.5255471292594,49278.56021639164,-2164.1166787050897,38888.67701889423,5633.096261,43099.027852
34,2024-05-12 17:00:00,6263.3813774566825,11631.107830837896,2534.837275713409,5050.664122653498,1123.171339,-75176.152787
35,2024-05-12 17:30:00,-1813.8586028319367,-67832.87489415107,-166.54692470112806,-27635.823844369785,-6611.055006,19915.413051
36,2024-05-12 18:00:00,-5179.605728027998,46970.36149121957,-879.8931367523791,13692.742914867975,4387.039007,58404.570735
37,2024-05-12 18:30:00,6203.48824124244,32201.044242028416,-146.08862015761486,2854.262105586488,2893.574525,-69035.147188
38,2024-05-12 19:00:00,82.37313422258705,-75886.35341760449,309.7555262307302,145.94058375804164,-6849.855822,-453.313752
39,2024-05-12 19:30:00,-6056.3506519406,31354.70760947752,1506.040406915116,-2864.199883859982,2818.122411,69414.974972
40,2024-05-12 20:30:00,1772.6763628712008,-67507.68370028822,-678.649177099432,27804.302791723494,-6589.091995,-20789.885498
41,2024-05-12 21:00:00,-5383.120861967494,10828.833059728873,4106.888360373103,-4636.5349790324535,1041.817474,75313.404201
42,2024-05-12 21:30:00,2490.0172651475145,49542.33020975009,-2888.868558671116,-39396.04699450724,5679.761651,-42334.834865
43,2024-05-12 22:00:00,2374.3836634342665,-46143.03451417353,-2679.5212152130043,45515.27517787197,-5847.674097,-39631.288768
