,time,X,X_dot,Y,Y_dot,Z,Z_dot
0,2024-05-12 00:00:00,4684.558050392468,-16209.606749210385,-4.547473508864641e-13,53080.16157914565,-5006.156715,-51961.645478
1,2024-05-12 00:30:00,6501.720456833892,-2146.0785430999877,1.1368683772161603e-13,23978.265810288314,-2171.197467,72256.596255
2,2024-05-12 01:00:00,833.2078910949766,1011.9906972669976,-2.2737367544323206e-13,-75599.85786174735,6788.440225,-8582.261686
3,2024-05-12 01:30:00,5852.627979956298,3332.5090642602813,-6.252776074688882e-13,39438.69329886178,-3569.15947,-65010.406352
4,2024-05-12 02:00:00,5683.753031577355,11575.574026751563,-4.547473508864641e-13,40904.26720555862,-3834.034578,63106.546828
5,2024-05-12 02:30:00,1130.2426663731085,-27555.682049308132,1.4210854715202004e-13,-69892.97723811018,6745.59041,12073.604728
6,2024-05-12 03:00:00,6593.445900268607,8874.552366481845,-2.7284841053187847e-12,18744.146867674655,-1869.987506,-73304.708349
7,2024-05-12 03:30:00,4451.556836844334,35347.859039802264,4.547473508864641e-13,45746.536721451994,-5215.320579,49346.482739
8,2024-05-12 04:00:00,2877.489625388613,-47830.09645462121,0.0,-49925.88618646956,6206.177805,31842.806822
9,2024-05-12 04:30:00,6851.231361458359,-686.9660309269286,-4.547473508864641e-13,1318.8936267771305,-33.851431,-76211.868145
10,2024-05-12 05:00:00,2899.0741179089136,59545.65466860683,0.0,34588.10154449276,-6214.299553,32007.059109
11,2024-05-12 05:30:00,4436.350879754056,-53023.20265066586,0.0,-23686.11446653688,5210.020161,49277.568108
12,2024-05-12 06:00:00,6606.631080732065,-19813.716413905688,-1.5916157281026244e-12,-4072.8226474731373,1804.412507,-73505.154683
13,2024-05-12 06:30:00,1157.8961820931618,74170.34624206365,0.0,10291.094985060581,-6758.985473,12360.507931
14,2024-05-12 07:00:00,5673.824365722503,-42705.96129335114,2.842170943040401e-14,-1624.3619892911743,3830.280463,63092.637573
15,2024-05-12 07:30:00,5877.617227757581,-38712.6332348116,1.3642420526593924e-12,5997.859473411767,3509.483906,-65379.99187
16,2024-05-12 08:00:00,801.3182665319514,73085.0526067357,-2.4158453015843406e-13,-18738.556030565418,-6810.413706,-8172.81715
17,2024-05-12 08:30:00,6496.268987417905,-22980.605007152568,-4.547473508864641e-13,7801.8767906926,2168.500969,72262.66596
18,2024-05-12 09:00:00,4718.542787603861,-47559.43461640345,1.3642420526593924e-12,28125.647221314823,4955.785669,-52442.404926
19,2024-05-12 09:30:00,2550.5005478247576,56591.95348241425,9.094947017729282e-13,-42094.3914865956,-6365.069144,-28115.446467
20,2024-05-12 10:00:00,6842.744629920611,-3848.636606585192,0.0,1743.3344137353918,347.266479,76105.589881
21,2024-05-12 10:30:00,3216.362674112924,-40743.37076593353,6.821210263296962e-13,53528.348302847546,6037.418079,-35649.777064
22,2024-05-12 11:00:00,4154.0039945107565,31297.739606344665,9.094947017729282e-13,-51735.99785631938,-5454.721229,-46038.415032
23,2024-05-12 11:30:00,6687.8443680993105,5108.488335166512,4.547473508864641e-13,-15832.386344783912,-1499.882262,74345.432689
24,2024-05-12 12:00:00,1492.6087622815412,-19286.26971198888,4.263256414560601e-14,71800.31426528694,6674.62204,-16245.830172
25,2024-05-12 12:30:00,5460.56754733972,7347.716207119189,3.410605131648481e-13,-45368.72430475357,-4144.927135,-60628.796994
26,2024-05-12 13:00:00,6043.035811507062,-1151.3083354823307,-4.973799150320701e-13,-35878.67955980204,-3237.562449,67121.206892
27,2024-05-12 13:30:00,503.9747179292676,9579.630044431964,2.842170943040401e-14,75359.91511472446,6820.670246,4351.684287
28,2024-05-12 14:00:00,6369.8725197612775,-5864.110808799912,-4.547473508864641e-13,-27441.02078031987,-2530.600063,-70799.570491
29,2024-05-12 14:30:00,4956.845845049883,-20957.083040613044,6.821210263296962e-13,-48155.80541623613,-4737.510309,54985.345776
30,2024-05-12 15:00:00,2234.9312597226,35478.06318716013,-3.410605131648481e-13,62667.74800191217,6464.673977,24629.151202
31,2024-05-12 15:30:00,6813.0985064022225,-3720.6742727085284,1.3642420526593924e-12,-7252.661130704403,-730.400234,-75776.454613
32,2024-05-12 16:00:00,3511.778257289466,-46639.31117931171,4.547473508864641e-13,-45663.08570826028,-5889.71969,38853.245726
33,2024-05-12 16:30:00,3883.421945029769,49278.56021639164,2.2737367544323206e-13,38888.67701889423,5633.096261,43099.027852
34,2024-05-12 17:00:00,6756.874003103607,11631.107830837896,9.094947017729282e-13,5050.664122653498,1123.171339,-75176.152787
35,2024-05-12 17:30:00,1821.4886519533486,-67832.87489415107,-2.8421709430404007e-13,-27635.823844369785,-6611.055006,19915.413051
36,2024-05-12 18:00:00,5253.810753150935,46970.36149121957,4.547473508864641e-13,13692.742914867975,4387.039007,58404.570735
37,2024-05-12 18:30:00,6205.208154781981,32201.044242028416,0.0,2854.262105586488,2893.574525,-69035.147188
38,2024-05-12 19:00:00,320.52116821222415,-75886.35341760449,-2.842170943040401e-14,145.94058375804164,-6849.855822,-453.313752
39,2024-05-12 19:30:00,6240.796497765519,31354.70760947752,1.2505552149377763e-12,-2864.199883859982,2818.122411,69414.974972
40,2024-05-12 20:30:00,1898.1428273604715,-67507.68370028822,0.0,27804.302791723494,-6589.091995,-20789.885498
41,2024-05-12 21:00:00,6770.858307416995,10828.833059728873,1.3642420526593924e-12,-4636.5349790324535,1041.817474,75313.404201
42,2024-05-12 21:30:00,3813.8887673883773,49542.33020975009,2.2737367544323206e-13,-39396.04699450724,5679.761651,-42334.834865
