time,x,x_dot,y,y_dot,z,z_dot
2024-05-13 03:30:00,1802.591901,-40683.401751,2751.020684,-53027.212018,5998.777438,36450.873197
2024-05-13 04:00:00,-4900.850487,-4499.443761,-4767.555236,-2362.717835,428.555772,-76062.611389
2024-05-13 04:30:00,2146.027198,57012.494947,1237.17083,42066.585126,-6394.229313,27283.858842
2024-05-13 05:00:00,4049.845817,-47116.348828,2535.518897,-27630.92128,4899.341151,53094.903626
2024-05-13 05:30:00,-6044.733929,-23809.68136,-2304.604431,-8033.766618,2245.770616,-71974.622193
2024-05-13 06:00:00,714.69026,73244.992401,-144.879172,18476.595537,-6818.502897,7283.954382
2024-05-13 06:30:00,5857.967344,-37957.862418,852.798425,-5756.255077,3439.393412,65836.985392
2024-05-13 07:00:00,-5621.131402,-43448.999348,258.428182,1799.769475,3897.326068,-62584.036979
2024-05-13 07:30:00,-1225.633845,73983.391408,-137.166329,-10557.571247,-6745.481173,-13237.400492
2024-05-13 08:00:00,6397.718955,-18961.111846,-1732.596261,3910.209863,1726.242323,73732.397017
2024-05-13 08:30:00,-3911.782487,-53463.661125,1956.682988,24122.204329,5261.660662,-48592.066575
2024-05-13 09:00:00,-2683.301798,59093.219781,1271.775919,-34629.09559,-6180.616892,-32803.538978
2024-05-13 10:00:00,-1730.790137,-47893.279114,2206.356835,50378.840693,6238.965798,-31033.398763
2024-05-13 10:30:00,-2872.257826,34836.403549,3476.535432,-45434.355582,-5164.386214,-50008.381149
2024-05-13 11:00:00,3105.719359,9203.266181,-5792.440124,-19510.296164,-1945.490083,73051.535448
2024-05-13 11:30:00,-76.106224,-27333.420412,1051.629945,70128.152606,6757.472285,-11202.240057
2024-05-13 12:00:00,-1547.72422,11244.82503,5512.381452,-40261.763137,-3769.776331,-63591.690172
2024-05-13 12:30:00,480.120959,3259.032985,-5793.083656,-40172.320815,-3635.112475,64548.08862
2024-05-13 13:00:00,298.337969,1301.280271,-856.349723,75492.876886,6778.91814,9452.015318
2024-05-13 13:30:00,885.136775,-2119.988563,6464.224279,-23169.074819,-2098.218926,-72534.379445
2024-05-13 14:00:00,-1514.155175,-16571.688865,-4374.784147,-53564.066562,-5058.267376,51328.822473
2024-05-13 14:30:00,-795.251017,27710.806129,-2539.449403,64503.344708,6301.548622,29415.49155
2024-05-13 15:00:00,3539.404901,-271.186528,5860.128274,-3259.718641,-272.528041,-76152.955029
2024-05-13 15:30:00,-2161.76537,-42911.533927,-2238.683266,-52377.808914,-6110.518169,34386.934822
2024-05-13 16:00:00,-2896.487997,42561.978841,-3113.184416,41935.981263,5360.784415,47220.967557
2024-05-13 16:30:00,5423.240181,15048.51753,3875.674727,9245.113153,1572.943596,-74165.212874
2024-05-13 17:00:00,-1333.725527,-65434.481251,-373.32558,-35421.30819,-6716.113543,14966.293653
2024-05-13 17:30:00,-5094.006654,41452.890833,-2168.346456,17280.427553,4025.744152,61558.198989
2024-05-13 18:00:00,5863.049375,36114.755535,1260.143438,7417.621851,3302.009819,-66713.314507
